n,m,x,time_frame_pose_x
n_value,m_value,x_value,1728168306.3384337_28_pose_y_2.2781782150268555
n_value,m_value,x_value,1728168306.3384337_28_pose_z_0.16625480353832245
n_value,m_value,x_value,1728168306.3384337_29_pose_x_0.6277337074279785
n_value,m_value,x_value,1728168306.3384337_29_pose_y_2.368481159210205
n_value,m_value,x_value,1728168306.3384337_29_pose_z_0.17427857220172882
n_value,m_value,x_value,1728168306.3384337_30_pose_x_0.41479405760765076
n_value,m_value,x_value,1728168306.3384337_30_pose_y_2.3481638431549072
n_value,m_value,x_value,1728168306.3384337_30_pose_z_0.1677653044462204
n_value,m_value,x_value,1728168306.3384337_31_pose_x_0.5686614513397217
n_value,m_value,x_value,1728168306.3384337_31_pose_y_2.427872896194458
n_value,m_value,x_value,1728168306.3384337_31_pose_z_-0.24771122634410858
n_value,m_value,x_value,1728168306.3384337_32_pose_x_0.4492189288139343
n_value,m_value,x_value,1728168306.3384337_32_pose_y_2.4097158908843994
n_value,m_value,x_value,1728168306.3384337_32_pose_z_-0.2611593008041382
n_value,m_value,x_value,1728168306.5399916_0_pose_x_0.6076575517654419
n_value,m_value,x_value,1728168306.5399916_0_pose_y_0.6279522180557251
n_value,m_value,x_value,1728168306.5399916_0_pose_z_-0.5873221755027771
n_value,m_value,x_value,1728168306.5399916_1_pose_x_0.6315410733222961
n_value,m_value,x_value,1728168306.5399916_1_pose_y_0.5908907651901245
n_value,m_value,x_value,1728168306.5399916_1_pose_z_-0.5481091737747192
n_value,m_value,x_value,1728168306.5399916_2_pose_x_0.6443316340446472
n_value,m_value,x_value,1728168306.5399916_2_pose_y_0.5934416651725769
n_value,m_value,x_value,1728168306.5399916_2_pose_z_-0.5479611754417419
n_value,m_value,x_value,1728168306.5399916_3_pose_x_0.6573562622070312
n_value,m_value,x_value,1728168306.5399916_3_pose_y_0.5967379808425903
n_value,m_value,x_value,1728168306.5399916_3_pose_z_-0.5479202270507812
n_value,m_value,x_value,1728168306.5399916_4_pose_x_0.5904970169067383
n_value,m_value,x_value,1728168306.5399916_4_pose_y_0.5861350893974304
n_value,m_value,x_value,1728168306.5399916_4_pose_z_-0.5458261370658875
n_value,m_value,x_value,1728168306.5399916_5_pose_x_0.5770168304443359
n_value,m_value,x_value,1728168306.5399916_5_pose_y_0.5858176350593567
n_value,m_value,x_value,1728168306.5399916_5_pose_z_-0.5450825691223145
n_value,m_value,x_value,1728168306.5399916_6_pose_x_0.5656549334526062
n_value,m_value,x_value,1728168306.5399916_6_pose_y_0.5860941410064697
n_value,m_value,x_value,1728168306.5399916_6_pose_z_-0.5452197790145874
n_value,m_value,x_value,1728168306.5399916_7_pose_x_0.6811483502388
n_value,m_value,x_value,1728168306.5399916_7_pose_y_0.6310111880302429
n_value,m_value,x_value,1728168306.5399916_7_pose_z_-0.3059335947036743
n_value,m_value,x_value,1728168306.5399916_8_pose_x_0.5506197214126587
n_value,m_value,x_value,1728168306.5399916_8_pose_y_0.6169596910476685
n_value,m_value,x_value,1728168306.5399916_8_pose_z_-0.28104540705680847
n_value,m_value,x_value,1728168306.5399916_9_pose_x_0.6324515342712402
n_value,m_value,x_value,1728168306.5399916_9_pose_y_0.6851294040679932
n_value,m_value,x_value,1728168306.5399916_9_pose_z_-0.4963208734989166
n_value,m_value,x_value,1728168306.5399916_10_pose_x_0.5813629627227783
n_value,m_value,x_value,1728168306.5399916_10_pose_y_0.677614152431488
n_value,m_value,x_value,1728168306.5399916_10_pose_z_-0.4906856119632721
n_value,m_value,x_value,1728168306.5399916_11_pose_x_0.7715810537338257
n_value,m_value,x_value,1728168306.5399916_11_pose_y_0.8918614983558655
n_value,m_value,x_value,1728168306.5399916_11_pose_z_-0.19040939211845398
n_value,m_value,x_value,1728168306.5399916_12_pose_x_0.441751629114151
n_value,m_value,x_value,1728168306.5399916_12_pose_y_0.8537310361862183
n_value,m_value,x_value,1728168306.5399916_12_pose_z_-0.19555304944515228
n_value,m_value,x_value,1728168306.5399916_13_pose_x_0.8433157801628113
n_value,m_value,x_value,1728168306.5399916_13_pose_y_1.206695318222046
n_value,m_value,x_value,1728168306.5399916_13_pose_z_-0.2148861438035965
n_value,m_value,x_value,1728168306.5399916_14_pose_x_0.3299502432346344
n_value,m_value,x_value,1728168306.5399916_14_pose_y_1.0214217901229858
n_value,m_value,x_value,1728168306.5399916_14_pose_z_-0.22046105563640594
n_value,m_value,x_value,1728168306.5399916_15_pose_x_0.82145756483078
n_value,m_value,x_value,1728168306.5399916_15_pose_y_1.3913493156433105
n_value,m_value,x_value,1728168306.5399916_15_pose_z_-0.42209187150001526
n_value,m_value,x_value,1728168306.5399916_16_pose_x_0.3470180630683899
n_value,m_value,x_value,1728168306.5399916_16_pose_y_1.3290122747421265
n_value,m_value,x_value,1728168306.5399916_16_pose_z_-0.5674939155578613
n_value,m_value,x_value,1728168306.5399916_17_pose_x_0.8313531875610352
n_value,m_value,x_value,1728168306.5399916_17_pose_y_1.468687891960144
n_value,m_value,x_value,1728168306.5399916_17_pose_z_-0.4969596266746521
n_value,m_value,x_value,1728168306.5399916_18_pose_x_0.32896843552589417
n_value,m_value,x_value,1728168306.5399916_18_pose_y_1.4055824279785156
