n,m,x,time_frame_pose_x
n_value,m_value,x_value,0_0_hand_x_0.46232008934020996
n_value,m_value,x_value,0_0_hand_y_0.19116856157779694
n_value,m_value,x_value,0_0_hand_z_-0.0011261868057772517
n_value,m_value,x_value,0_0_hand_x_0.4657767117023468
n_value,m_value,x_value,0_0_hand_y_0.16486461460590363
n_value,m_value,x_value,0_0_hand_z_-0.0018911190563812852
n_value,m_value,x_value,0_0_hand_x_0.46920299530029297
n_value,m_value,x_value,0_0_hand_y_0.14293642342090607
n_value,m_value,x_value,0_0_hand_z_-0.0032497872598469257
n_value,m_value,x_value,0_0_hand_x_0.4561745226383209
n_value,m_value,x_value,0_0_hand_y_0.1537267565727234
n_value,m_value,x_value,0_0_hand_z_-0.002092927461490035
n_value,m_value,x_value,0_0_hand_x_0.45897820591926575
n_value,m_value,x_value,0_0_hand_y_0.10747365653514862
n_value,m_value,x_value,0_0_hand_z_-0.00952991284430027
n_value,m_value,x_value,0_0_hand_x_0.46342840790748596
n_value,m_value,x_value,0_0_hand_y_0.07298991084098816
n_value,m_value,x_value,0_0_hand_z_-0.01548885926604271
n_value,m_value,x_value,0_0_hand_x_0.4678942859172821
n_value,m_value,x_value,0_0_hand_y_0.04520147293806076
n_value,m_value,x_value,0_0_hand_z_-0.01960711181163788
n_value,m_value,x_value,0_0_hand_x_0.45182013511657715
n_value,m_value,x_value,0_0_hand_y_0.15358929336071014
n_value,m_value,x_value,0_0_hand_z_-0.006547313649207354
n_value,m_value,x_value,0_0_hand_x_0.4550420045852661
n_value,m_value,x_value,0_0_hand_y_0.10327126830816269
n_value,m_value,x_value,0_0_hand_z_-0.014216499403119087
n_value,m_value,x_value,0_0_hand_x_0.4607647955417633
n_value,m_value,x_value,0_0_hand_y_0.06512420624494553
n_value,m_value,x_value,0_0_hand_z_-0.02093963511288166
n_value,m_value,x_value,0_0_hand_x_0.4664863348007202
n_value,m_value,x_value,0_0_hand_y_0.031694941222667694
n_value,m_value,x_value,0_0_hand_z_-0.02541961520910263
n_value,m_value,x_value,0_0_hand_x_0.4472305476665497
n_value,m_value,x_value,0_0_hand_y_0.15799184143543243
n_value,m_value,x_value,0_0_hand_z_-0.01157745998352766
n_value,m_value,x_value,0_0_hand_x_0.4505370259284973
n_value,m_value,x_value,0_0_hand_y_0.11024868488311768
n_value,m_value,x_value,0_0_hand_z_-0.019011080265045166
n_value,m_value,x_value,0_0_hand_x_0.45533493161201477
n_value,m_value,x_value,0_0_hand_y_0.07699210196733475
n_value,m_value,x_value,0_0_hand_z_-0.023969609290361404
n_value,m_value,x_value,0_0_hand_x_0.45956912636756897
n_value,m_value,x_value,0_0_hand_y_0.04872213304042816
n_value,m_value,x_value,0_0_hand_z_-0.02678004279732704
n_value,m_value,x_value,0_0_hand_x_0.4424075484275818
n_value,m_value,x_value,0_0_hand_y_0.16712164878845215
n_value,m_value,x_value,0_0_hand_z_-0.016840407624840736
n_value,m_value,x_value,0_0_hand_x_0.44410741329193115
n_value,m_value,x_value,0_0_hand_y_0.13076800107955933
n_value,m_value,x_value,0_0_hand_z_-0.023918230086565018
n_value,m_value,x_value,0_0_hand_x_0.447811096906662
n_value,m_value,x_value,0_0_hand_y_0.1049211174249649
n_value,m_value,x_value,0_0_hand_z_-0.027341553941369057
n_value,m_value,x_value,0_0_hand_x_0.4517275094985962
n_value,m_value,x_value,0_0_hand_y_0.08303336054086685
n_value,m_value,x_value,0_0_hand_z_-0.029226573184132576
n_value,m_value,x_value,0_2_pose_x_0.7538886070251465
n_value,m_value,x_value,0_2_pose_y_0.2733593285083771
n_value,m_value,x_value,0_2_pose_z_-0.6834856867790222
n_value,m_value,x_value,0_2_pose_x_0.7669022083282471
n_value,m_value,x_value,0_2_pose_y_0.23314382135868073
n_value,m_value,x_value,0_2_pose_z_-0.6403582692146301
n_value,m_value,x_value,0_2_pose_x_0.7753112316131592
n_value,m_value,x_value,0_2_pose_y_0.2342812865972519
n_value,m_value,x_value,0_2_pose_z_-0.6404415965080261
n_value,m_value,x_value,0_2_pose_x_0.7822456955909729
n_value,m_value,x_value,0_2_pose_y_0.23558536171913147
n_value,m_value,x_value,0_2_pose_z_-0.6403642296791077
n_value,m_value,x_value,0_2_pose_x_0.7364985942840576
n_value,m_value,x_value,0_2_pose_y_0.2331855297088623
n_value,m_value,x_value,0_2_pose_z_-0.635374903678894
n_value,m_value,x_value,0_2_pose_x_0.7257601022720337
n_value,m_value,x_value,0_2_pose_y_0.23479010164737701
n_value,m_value,x_value,0_2_pose_z_-0.635494589805603
n_value,m_value,x_value,0_2_pose_x_0.7156668901443481
n_value,m_value,x_value,0_2_pose_y_0.23749631643295288
n_value,m_value,x_value,0_2_pose_z_-0.6358332633972168
n_value,m_value,x_value,0_2_pose_x_0.7925508618354797
n_value,m_value,x_value,0_2_pose_y_0.26182401180267334
n_value,m_value,x_value,0_2_pose_z_-0.3605181872844696
n_value,m_value,x_value,0_2_pose_x_0.7039018869400024
n_value,m_value,x_value,0_2_pose_y_0.2659284770488739
n_value,m_value,x_value,0_2_pose_z_-0.3345736265182495
n_value,m_value,x_value,0_2_pose_x_0.7704113721847534
n_value,m_value,x_value,0_2_pose_y_0.3279978930950165
n_value,m_value,x_value,0_2_pose_z_-0.5828564167022705
n_value,m_value,x_value,0_2_pose_x_0.7322990894317627
n_value,m_value,x_value,0_2_pose_y_0.32570359110832214
n_value,m_value,x_value,0_2_pose_z_-0.5766136050224304
n_value,m_value,x_value,0_2_pose_x_0.8671931028366089
n_value,m_value,x_value,0_2_pose_y_0.5547380447387695
n_value,m_value,x_value,0_2_pose_z_-0.24279966950416565
n_value,m_value,x_value,0_2_pose_x_0.6130537986755371
n_value,m_value,x_value,0_2_pose_y_0.5223178267478943
n_value,m_value,x_value,0_2_pose_z_-0.132369264960289
n_value,m_value,x_value,0_2_pose_x_0.8891009092330933
n_value,m_value,x_value,0_2_pose_y_0.8962398171424866
n_value,m_value,x_value,0_2_pose_z_-0.2351866066455841
n_value,m_value,x_value,0_2_pose_x_0.4297914505004883
n_value,m_value,x_value,0_2_pose_y_0.601116418838501
n_value,m_value,x_value,0_2_pose_z_-0.4741666316986084
n_value,m_value,x_value,0_2_pose_x_0.8413429260253906
n_value,m_value,x_value,0_2_pose_y_1.1028660535812378
n_value,m_value,x_value,0_2_pose_z_-0.4533969759941101
n_value,m_value,x_value,0_2_pose_x_0.43968525528907776
n_value,m_value,x_value,0_2_pose_y_0.24957023561000824
n_value,m_value,x_value,0_2_pose_z_-1.0682905912399292
n_value,m_value,x_value,0_2_pose_x_0.8367765545845032
n_value,m_value,x_value,0_2_pose_y_1.2102258205413818
n_value,m_value,x_value,0_2_pose_z_-0.523548424243927
n_value,m_value,x_value,0_2_pose_x_0.44500070810317993
n_value,m_value,x_value,0_2_pose_y_0.1438809484243393
n_value,m_value,x_value,0_2_pose_z_-1.1940304040908813
n_value,m_value,x_value,0_2_pose_x_0.819543182849884
n_value,m_value,x_value,0_2_pose_y_1.1757895946502686
n_value,m_value,x_value,0_2_pose_z_-0.5588878393173218
n_value,m_value,x_value,0_2_pose_x_0.46099621057510376
n_value,m_value,x_value,0_2_pose_y_0.13572010397911072
n_value,m_value,x_value,0_2_pose_z_-1.172982096672058
n_value,m_value,x_value,0_2_pose_x_0.8168360590934753
n_value,m_value,x_value,0_2_pose_y_1.1423568725585938
n_value,m_value,x_value,0_2_pose_z_-0.4751579165458679
n_value,m_value,x_value,0_2_pose_x_0.46688589453697205
n_value,m_value,x_value,0_2_pose_y_0.16537708044052124
n_value,m_value,x_value,0_2_pose_z_-1.0818346738815308
n_value,m_value,x_value,0_2_pose_x_0.8108338117599487
n_value,m_value,x_value,0_2_pose_y_1.142067551612854
n_value,m_value,x_value,0_2_pose_z_-0.051445960998535156
n_value,m_value,x_value,0_2_pose_x_0.6544338464736938
n_value,m_value,x_value,0_2_pose_y_1.1643320322036743
n_value,m_value,x_value,0_2_pose_z_0.053055305033922195
n_value,m_value,x_value,0_2_pose_x_0.8165399432182312
n_value,m_value,x_value,0_2_pose_y_1.627356767654419
n_value,m_value,x_value,0_2_pose_z_0.01407855935394764
n_value,m_value,x_value,0_2_pose_x_0.6606166362762451
n_value,m_value,x_value,0_2_pose_y_1.6334296464920044
n_value,m_value,x_value,0_2_pose_z_0.0918397456407547
n_value,m_value,x_value,0_2_pose_x_0.8082075119018555
n_value,m_value,x_value,0_2_pose_y_2.050870418548584
n_value,m_value,x_value,0_2_pose_z_0.44179877638816833
n_value,m_value,x_value,0_2_pose_x_0.6564368605613708
n_value,m_value,x_value,0_2_pose_y_2.0628318786621094
n_value,m_value,x_value,0_2_pose_z_0.4075627326965332
n_value,m_value,x_value,0_2_pose_x_0.8100525736808777
n_value,m_value,x_value,0_2_pose_y_2.1072068214416504
n_value,m_value,x_value,0_2_pose_z_0.4631890654563904
n_value,m_value,x_value,0_2_pose_x_0.653240978717804
n_value,m_value,x_value,0_2_pose_y_2.123002529144287
n_value,m_value,x_value,0_2_pose_z_0.4272681176662445
n_value,m_value,x_value,0_2_pose_x_0.7883287668228149
n_value,m_value,x_value,0_2_pose_y_2.18983793258667
n_value,m_value,x_value,0_2_pose_z_0.10493586212396622
n_value,m_value,x_value,0_2_pose_x_0.6671857237815857
n_value,m_value,x_value,0_2_pose_y_2.192625045776367
n_value,m_value,x_value,0_2_pose_z_0.03586633875966072
n_value,m_value,x_value,0_2_hand_x_0.43937817215919495
n_value,m_value,x_value,0_2_hand_y_0.25025877356529236
n_value,m_value,x_value,0_2_hand_z_1.2304059282541857e-07
n_value,m_value,x_value,0_2_hand_x_0.4569864869117737
n_value,m_value,x_value,0_2_hand_y_0.22462819516658783
n_value,m_value,x_value,0_2_hand_z_0.000520287430845201
n_value,m_value,x_value,0_2_hand_x_0.46309328079223633
n_value,m_value,x_value,0_2_hand_y_0.1840304434299469
n_value,m_value,x_value,0_2_hand_z_0.0006796501111239195
n_value,m_value,x_value,0_2_hand_x_0.4667835235595703
n_value,m_value,x_value,0_2_hand_y_0.15732285380363464
n_value,m_value,x_value,0_2_hand_z_-0.0004563235561363399
n_value,m_value,x_value,0_2_hand_x_0.469775527715683
n_value,m_value,x_value,0_2_hand_y_0.13482756912708282
n_value,m_value,x_value,0_2_hand_z_-0.0023262042086571455
n_value,m_value,x_value,0_2_hand_x_0.45493099093437195
n_value,m_value,x_value,0_2_hand_y_0.1464451402425766
n_value,m_value,x_value,0_2_hand_z_-0.0009766011498868465
n_value,m_value,x_value,0_2_hand_x_0.45857101678848267
n_value,m_value,x_value,0_2_hand_y_0.0996503233909607
n_value,m_value,x_value,0_2_hand_z_-0.0086063789203763
n_value,m_value,x_value,0_2_hand_x_0.4638657867908478
n_value,m_value,x_value,0_2_hand_y_0.06497297435998917
n_value,m_value,x_value,0_2_hand_z_-0.014795392751693726
n_value,m_value,x_value,0_2_hand_x_0.4689927101135254
n_value,m_value,x_value,0_2_hand_y_0.036825016140937805
n_value,m_value,x_value,0_2_hand_z_-0.019176261499524117
n_value,m_value,x_value,0_2_hand_x_0.4506976902484894
n_value,m_value,x_value,0_2_hand_y_0.14684291183948517
n_value,m_value,x_value,0_2_hand_z_-0.006725566927343607
n_value,m_value,x_value,0_2_hand_x_0.4551777243614197
n_value,m_value,x_value,0_2_hand_y_0.09578017145395279
n_value,m_value,x_value,0_2_hand_z_-0.014179623685777187
n_value,m_value,x_value,0_2_hand_x_0.46169576048851013
n_value,m_value,x_value,0_2_hand_y_0.057366713881492615
n_value,m_value,x_value,0_2_hand_z_-0.021102387458086014
n_value,m_value,x_value,0_2_hand_x_0.4680427312850952
n_value,m_value,x_value,0_2_hand_y_0.023931458592414856
n_value,m_value,x_value,0_2_hand_z_-0.025971794500947
n_value,m_value,x_value,0_2_hand_x_0.44636479020118713
n_value,m_value,x_value,0_2_hand_y_0.15243420004844666
n_value,m_value,x_value,0_2_hand_z_-0.012954557314515114
n_value,m_value,x_value,0_2_hand_x_0.4505903422832489
n_value,m_value,x_value,0_2_hand_y_0.10370263457298279
n_value,m_value,x_value,0_2_hand_z_-0.020289454609155655
n_value,m_value,x_value,0_2_hand_x_0.4559215307235718
n_value,m_value,x_value,0_2_hand_y_0.06897543370723724
n_value,m_value,x_value,0_2_hand_z_-0.025703921914100647
n_value,m_value,x_value,0_2_hand_x_0.4608929455280304
n_value,m_value,x_value,0_2_hand_y_0.039363980293273926
n_value,m_value,x_value,0_2_hand_z_-0.02921251766383648
n_value,m_value,x_value,0_2_hand_x_0.442526251077652
n_value,m_value,x_value,0_2_hand_y_0.16291309893131256
n_value,m_value,x_value,0_2_hand_z_-0.019244497641921043
n_value,m_value,x_value,0_2_hand_x_0.444824755191803
n_value,m_value,x_value,0_2_hand_y_0.12677091360092163
n_value,m_value,x_value,0_2_hand_z_-0.026291709393262863
n_value,m_value,x_value,0_2_hand_x_0.44829022884368896
n_value,m_value,x_value,0_2_hand_y_0.10007467865943909
n_value,m_value,x_value,0_2_hand_z_-0.029941050335764885
n_value,m_value,x_value,0_2_hand_x_0.45236435532569885
n_value,m_value,x_value,0_2_hand_y_0.07693362981081009
n_value,m_value,x_value,0_2_hand_z_-0.03227340802550316
n_value,m_value,x_value,0_4_pose_x_0.7544716000556946
n_value,m_value,x_value,0_4_pose_y_0.2734009921550751
n_value,m_value,x_value,0_4_pose_z_-0.6859792470932007
n_value,m_value,x_value,0_4_pose_x_0.7672334909439087
n_value,m_value,x_value,0_4_pose_y_0.23313598334789276
n_value,m_value,x_value,0_4_pose_z_-0.6424964666366577
n_value,m_value,x_value,0_4_pose_x_0.7753880620002747
n_value,m_value,x_value,0_4_pose_y_0.23428304493427277
n_value,m_value,x_value,0_4_pose_z_-0.6425793170928955
n_value,m_value,x_value,0_4_pose_x_0.7825720906257629
n_value,m_value,x_value,0_4_pose_y_0.2356036752462387
n_value,m_value,x_value,0_4_pose_z_-0.6424886584281921
n_value,m_value,x_value,0_4_pose_x_0.7367985248565674
n_value,m_value,x_value,0_4_pose_y_0.2331942468881607
n_value,m_value,x_value,0_4_pose_z_-0.6364365816116333
n_value,m_value,x_value,0_4_pose_x_0.7259330749511719
n_value,m_value,x_value,0_4_pose_y_0.23481790721416473
n_value,m_value,x_value,0_4_pose_z_-0.6365369558334351
n_value,m_value,x_value,0_4_pose_x_0.7157853245735168
n_value,m_value,x_value,0_4_pose_y_0.2376013845205307
n_value,m_value,x_value,0_4_pose_z_-0.6368812918663025
n_value,m_value,x_value,0_4_pose_x_0.792815089225769
n_value,m_value,x_value,0_4_pose_y_0.2619055509567261
n_value,m_value,x_value,0_4_pose_z_-0.36259549856185913
n_value,m_value,x_value,0_4_pose_x_0.7035923600196838
n_value,m_value,x_value,0_4_pose_y_0.2659313976764679
n_value,m_value,x_value,0_4_pose_z_-0.33110785484313965
n_value,m_value,x_value,0_4_pose_x_0.770628809928894
n_value,m_value,x_value,0_4_pose_y_0.32812267541885376
n_value,m_value,x_value,0_4_pose_z_-0.5857421159744263
n_value,m_value,x_value,0_4_pose_x_0.7325394749641418
n_value,m_value,x_value,0_4_pose_y_0.3260899782180786
n_value,m_value,x_value,0_4_pose_z_-0.5781522989273071
n_value,m_value,x_value,0_4_pose_x_0.8675176501274109
n_value,m_value,x_value,0_4_pose_y_0.5548657178878784
n_value,m_value,x_value,0_4_pose_z_-0.2517727017402649
n_value,m_value,x_value,0_4_pose_x_0.6130844950675964
n_value,m_value,x_value,0_4_pose_y_0.5230519771575928
n_value,m_value,x_value,0_4_pose_z_-0.13058392703533173
n_value,m_value,x_value,0_4_pose_x_0.8895099759101868
n_value,m_value,x_value,0_4_pose_y_0.89765864610672
n_value,m_value,x_value,0_4_pose_z_-0.2536414563655853
n_value,m_value,x_value,0_4_pose_x_0.42979392409324646
n_value,m_value,x_value,0_4_pose_y_0.600471556186676
n_value,m_value,x_value,0_4_pose_z_-0.47494491934776306
n_value,m_value,x_value,0_4_pose_x_0.8378334045410156
n_value,m_value,x_value,0_4_pose_y_1.1029545068740845
n_value,m_value,x_value,0_4_pose_z_-0.4750329852104187
n_value,m_value,x_value,0_4_pose_x_0.43963566422462463
n_value,m_value,x_value,0_4_pose_y_0.24957655370235443
n_value,m_value,x_value,0_4_pose_z_-1.0718958377838135
n_value,m_value,x_value,0_4_pose_x_0.8334141969680786
n_value,m_value,x_value,0_4_pose_y_1.210979700088501
n_value,m_value,x_value,0_4_pose_z_-0.5482085943222046
n_value,m_value,x_value,0_4_pose_x_0.44478732347488403
n_value,m_value,x_value,0_4_pose_y_0.14388203620910645
n_value,m_value,x_value,0_4_pose_z_-1.1978085041046143
n_value,m_value,x_value,0_4_pose_x_0.8154616355895996
n_value,m_value,x_value,0_4_pose_y_1.1759587526321411
n_value,m_value,x_value,0_4_pose_z_-0.5800288319587708
n_value,m_value,x_value,0_4_pose_x_0.4606475234031677
n_value,m_value,x_value,0_4_pose_y_0.13571861386299133
n_value,m_value,x_value,0_4_pose_z_-1.1754419803619385
n_value,m_value,x_value,0_4_pose_x_0.8130407333374023
n_value,m_value,x_value,0_4_pose_y_1.142366647720337
n_value,m_value,x_value,0_4_pose_z_-0.4957558512687683
n_value,m_value,x_value,0_4_pose_x_0.4663638472557068
n_value,m_value,x_value,0_4_pose_y_0.1654234379529953
n_value,m_value,x_value,0_4_pose_z_-1.0853769779205322
n_value,m_value,x_value,0_4_pose_x_0.8101790547370911
n_value,m_value,x_value,0_4_pose_y_1.1300543546676636
n_value,m_value,x_value,0_4_pose_z_-0.054855406284332275
n_value,m_value,x_value,0_4_pose_x_0.6544982194900513
n_value,m_value,x_value,0_4_pose_y_1.1643906831741333
n_value,m_value,x_value,0_4_pose_z_0.05640779808163643
n_value,m_value,x_value,0_4_pose_x_0.8151652216911316
n_value,m_value,x_value,0_4_pose_y_1.6276119947433472
n_value,m_value,x_value,0_4_pose_z_0.010068184696137905
n_value,m_value,x_value,0_4_pose_x_0.6592366695404053
n_value,m_value,x_value,0_4_pose_y_1.6337441205978394
n_value,m_value,x_value,0_4_pose_z_0.12529924511909485
n_value,m_value,x_value,0_4_pose_x_0.8047828674316406
n_value,m_value,x_value,0_4_pose_y_2.054884433746338
n_value,m_value,x_value,0_4_pose_z_0.44093555212020874
n_value,m_value,x_value,0_4_pose_x_0.6528958082199097
n_value,m_value,x_value,0_4_pose_y_2.065110683441162
n_value,m_value,x_value,0_4_pose_z_0.4654924273490906
n_value,m_value,x_value,0_4_pose_x_0.8069579005241394
n_value,m_value,x_value,0_4_pose_y_2.111903667449951
n_value,m_value,x_value,0_4_pose_z_0.4608798027038574
n_value,m_value,x_value,0_4_pose_x_0.6495603919029236
n_value,m_value,x_value,0_4_pose_y_2.1253888607025146
n_value,m_value,x_value,0_4_pose_z_0.48800188302993774
n_value,m_value,x_value,0_4_pose_x_0.7836619019508362
n_value,m_value,x_value,0_4_pose_y_2.1932616233825684
n_value,m_value,x_value,0_4_pose_z_0.09733749181032181
n_value,m_value,x_value,0_4_pose_x_0.662068247795105
n_value,m_value,x_value,0_4_pose_y_2.19632625579834
n_value,m_value,x_value,0_4_pose_z_0.09271799027919769
n_value,m_value,x_value,0_4_hand_x_0.43873879313468933
n_value,m_value,x_value,0_4_hand_y_0.2516239285469055
n_value,m_value,x_value,0_4_hand_z_1.0685695173151544e-07
n_value,m_value,x_value,0_4_hand_x_0.4572381377220154
n_value,m_value,x_value,0_4_hand_y_0.22594353556632996
n_value,m_value,x_value,0_4_hand_z_0.0010602599941194057
n_value,m_value,x_value,0_4_hand_x_0.4631856083869934
n_value,m_value,x_value,0_4_hand_y_0.1846848428249359
n_value,m_value,x_value,0_4_hand_z_0.0013310593785718083
n_value,m_value,x_value,0_4_hand_x_0.4666317403316498
n_value,m_value,x_value,0_4_hand_y_0.1581026017665863
n_value,m_value,x_value,0_4_hand_z_0.00015765313582960516
n_value,m_value,x_value,0_4_hand_x_0.4695040285587311
n_value,m_value,x_value,0_4_hand_y_0.13605013489723206
n_value,m_value,x_value,0_4_hand_z_-0.001704028807580471
n_value,m_value,x_value,0_4_hand_x_0.4552621841430664
n_value,m_value,x_value,0_4_hand_y_0.14446556568145752
n_value,m_value,x_value,0_4_hand_z_-0.0005490700132213533
n_value,m_value,x_value,0_4_hand_x_0.45857325196266174
n_value,m_value,x_value,0_4_hand_y_0.09650460630655289
n_value,m_value,x_value,0_4_hand_z_-0.008021953515708447
n_value,m_value,x_value,0_4_hand_x_0.463406503200531
n_value,m_value,x_value,0_4_hand_y_0.06259740889072418
n_value,m_value,x_value,0_4_hand_z_-0.014015797525644302
n_value,m_value,x_value,0_4_hand_x_0.46814510226249695
n_value,m_value,x_value,0_4_hand_y_0.03540495038032532
n_value,m_value,x_value,0_4_hand_z_-0.018272964283823967
n_value,m_value,x_value,0_4_hand_x_0.4507322311401367
n_value,m_value,x_value,0_4_hand_y_0.14579860866069794
n_value,m_value,x_value,0_4_hand_z_-0.006743421778082848
n_value,m_value,x_value,0_4_hand_x_0.45509031414985657
n_value,m_value,x_value,0_4_hand_y_0.09280344098806381
n_value,m_value,x_value,0_4_hand_z_-0.01432145107537508
n_value,m_value,x_value,0_4_hand_x_0.461002916097641
n_value,m_value,x_value,0_4_hand_y_0.0542609840631485
n_value,m_value,x_value,0_4_hand_z_-0.021294744685292244
n_value,m_value,x_value,0_4_hand_x_0.4667280316352844
n_value,m_value,x_value,0_4_hand_y_0.02073635160923004
n_value,m_value,x_value,0_4_hand_z_-0.026214320212602615
